bat_speed,impact_height,ball_length,ball_line,timing,front_foot,shot_type
87.14,65.83,6.486,50.03,0.7425,0,cut
90.35,80.44,6.052,74.91,0.4632,1,cut
99.31,36.01,4.387,65.84,0.5962,1,cover_drive
102.93,16.57,2.479,63.79,0.849,1,cover_drive
77.17,43.26,2.581,23.38,0.8436,1,straight_drive
107.75,99.04,6.907,115.34,0.5771,0,cut
84.09,47.88,6.262,76.65,0.8086,1,cut
81.92,46.51,4.434,-28.22,0.4663,1,defensive
96.44,106.78,6.359,9.67,0.5523,0,pull
97.14,49.07,7.78,14.99,0.778,0,pull
104.05,41.25,5.149,33.26,0.7747,1,defensive
78.01,36.12,3.424,73.53,0.3277,1,defensive
71.87,35.2,3.763,-40.01,0.4963,0,flick
94.37,69.43,5.948,-43.45,0.8891,0,pull
98.28,34.56,2.64,12.11,0.6913,1,straight_drive
78.41,76.15,6.278,-16.99,0.6145,0,pull
83.36,24.78,2.791,18.35,0.9074,1,straight_drive
93.43,30.03,3.31,68.82,0.7694,1,cover_drive
94.27,63.78,2.935,-47.05,0.8409,0,flick
103.7,52.48,4.22,-22.87,0.7665,0,pull
96.46,73.79,4.578,-61.79,0.7558,0,flick
56.8,60.39,3.209,7.12,0.3309,0,defensive
66.65,34.26,5.095,2.79,0.3511,0,defensive
88.54,80.09,5.182,72.18,0.8521,1,cut
93.45,40.1,2.414,68.65,0.7699,1,cover_drive
96.02,82.29,7.165,-23.81,0.8319,0,pull
108.54,62.27,5.825,53.12,0.7715,0,cut
93.93,53.19,3.07,-40.64,0.5366,0,flick
87.42,55.47,6.163,44.47,0.4674,0,cut
43.33,47.36,2.665,-29.36,0.442,1,defensive
59.04,48.24,3.613,-46.91,0.8604,0,flick
83.04,51.36,2.872,56.65,0.751,1,cover_drive
113.77,52.45,2.909,29.71,0.7296,1,cover_drive
97.96,24.27,2.833,66.47,0.6717,1,cover_drive
84.63,55.98,3.022,-18.91,0.8968,1,straight_drive
66.15,25.4,3.791,-71.31,0.7891,0,flick
102.02,32.16,3.157,34.5,0.6821,1,cover_drive
84.17,90.28,5.524,-6.45,0.76,0,pull
96.47,56.39,6.682,-8.3,0.651,0,pull
105.88,54.1,5.974,50.48,0.6142,1,cut
113.16,71.55,7.77,-14.76,0.6912,1,pull
114.06,69.3,7.425,-22.5,0.7954,0,pull
59.88,28.93,4.223,26.65,0.5459,1,defensive
99.23,31.71,3.524,17.34,0.8891,0,straight_drive
115.18,30.22,6.923,-10.0,0.8043,1,pull
78.22,37.88,3.27,-2.17,0.9123,1,straight_drive
101.37,37.86,3.714,62.9,0.7236,1,cover_drive
98.19,37.14,3.206,49.73,0.6259,1,cover_drive
55.47,50.23,4.164,31.36,0.5419,1,defensive
94.73,65.32,5.742,34.97,1.0,0,cut
97.5,53.31,5.7,82.91,0.8194,1,cut
106.06,42.37,3.324,75.56,0.8679,1,cover_drive
104.83,52.75,3.537,64.0,0.779,1,cover_drive
78.37,36.57,3.281,18.61,0.6218,1,straight_drive
91.64,22.1,3.824,48.32,0.657,1,cover_drive
96.99,62.99,3.016,-60.17,0.4445,1,defensive
90.16,65.98,5.847,-15.6,0.6092,0,pull
81.76,68.81,6.432,93.37,0.8822,1,cut
103.42,24.45,3.53,10.14,0.7166,1,cover_drive
91.91,27.53,3.357,74.36,0.7579,1,cover_drive
72.68,56.86,3.231,-15.64,0.9716,0,straight_drive
85.11,33.52,3.586,-32.88,0.4463,1,flick
89.37,40.91,3.52,-96.3,0.8054,0,flick
82.26,48.29,3.838,57.78,0.8444,0,defensive
90.41,23.42,3.362,41.37,0.6602,1,cover_drive
124.05,40.19,2.892,62.83,0.7871,1,cover_drive
93.77,40.44,3.165,14.65,0.6502,1,straight_drive
87.14,61.38,3.217,-0.36,0.6096,1,straight_drive
85.64,51.35,5.423,-17.98,0.7496,0,defensive
101.88,26.96,3.605,13.69,0.8497,1,straight_drive
99.17,55.83,3.325,9.32,0.971,1,straight_drive
83.29,24.99,2.582,14.54,0.5239,1,straight_drive
81.76,45.85,4.06,-21.53,0.4066,1,defensive
84.79,35.35,2.749,64.7,0.7025,1,cover_drive
91.49,36.88,4.026,-63.78,1.0,1,flick
93.34,97.02,6.675,40.06,0.5625,0,cut
109.54,55.44,3.66,-48.76,0.7065,1,flick
98.93,20.47,4.359,-2.88,0.8967,1,flick
86.23,24.05,2.965,38.37,0.7908,1,cover_drive
80.49,60.76,3.398,-69.24,0.4719,1,flick
93.82,42.6,3.102,43.08,0.6173,1,straight_drive
79.93,44.53,3.579,7.62,0.7965,1,straight_drive
74.75,49.34,5.181,88.1,0.5512,1,defensive
93.37,40.82,3.539,32.76,0.5897,1,cover_drive
103.31,49.17,3.799,-14.25,0.9867,1,flick
68.96,26.02,3.236,51.08,0.8326,1,defensive
88.84,45.04,4.156,-54.41,0.6432,0,flick
92.24,28.49,4.43,-4.73,0.5181,1,defensive
106.89,64.12,6.313,-19.52,0.8345,0,pull
111.32,72.78,6.943,27.85,0.6839,0,pull
75.32,43.86,4.586,-28.87,0.2136,0,defensive
96.61,77.73,6.472,-19.84,0.7685,0,pull
95.59,39.28,2.749,-38.88,0.8741,0,flick
100.04,35.73,2.714,6.12,0.8731,1,straight_drive
72.53,68.16,5.557,84.44,0.7822,1,cut
68.05,91.35,4.878,64.72,0.8856,0,cut
81.39,17.71,4.057,8.04,0.4829,1,defensive
96.7,79.03,6.13,76.29,0.7272,0,cut
90.93,52.7,2.383,36.24,0.9275,1,straight_drive
97.86,15.14,2.641,50.57,0.7135,1,cover_drive
88.03,47.37,5.843,55.88,0.696,1,cut
94.48,71.47,5.913,58.33,0.7761,0,cut
83.21,30.49,5.028,23.34,0.6526,1,defensive
90.54,79.83,6.735,62.76,0.7862,1,cut
77.83,56.48,5.582,-29.39,0.5734,1,defensive
106.95,81.25,5.024,-50.27,0.8252,0,pull
107.6,111.97,7.279,-38.7,0.7834,0,pull
87.29,67.54,7.055,52.56,0.9805,0,cut
97.44,49.03,6.056,-1.96,0.6006,1,pull
117.85,51.41,7.738,19.25,0.5748,0,pull
98.6,46.66,2.661,-4.54,0.5768,1,straight_drive
90.12,93.95,5.599,78.39,0.7551,0,cut
89.94,42.43,4.493,-26.29,0.5244,1,defensive
83.14,36.85,6.043,82.3,0.371,0,defensive
103.26,34.27,2.946,-50.06,0.7658,1,flick
94.83,56.04,3.694,42.97,0.5738,1,cover_drive
101.27,80.21,7.656,-6.38,0.5311,0,pull
92.11,64.0,6.31,0.4,0.8986,1,pull
96.52,81.28,5.425,89.39,0.731,0,cut
86.87,18.0,3.337,87.81,0.6901,1,cover_drive
69.16,43.76,2.873,-49.08,0.4189,1,flick
94.03,68.18,6.39,7.57,0.7417,0,pull
96.03,22.05,3.687,12.02,0.841,1,straight_drive
85.73,53.66,2.72,60.93,1.0,0,straight_drive
84.64,42.58,3.07,38.46,0.7819,1,cover_drive
100.21,65.47,6.828,87.37,0.8072,0,cut
86.4,55.28,2.707,5.8,0.772,1,straight_drive
97.97,29.54,4.402,22.39,0.819,1,straight_drive
89.7,45.73,7.585,31.55,0.6105,1,pull
73.77,78.96,3.124,-38.99,0.4582,1,flick
100.8,77.55,6.197,100.96,0.454,0,cut
67.37,43.47,3.746,-32.77,0.4763,0,flick
84.58,67.87,6.596,3.98,0.871,0,pull
77.85,88.24,5.573,-6.04,0.6081,0,pull
92.16,23.04,3.153,57.38,0.7381,1,cover_drive
78.18,73.74,6.15,10.49,0.6317,1,pull
100.14,94.17,5.012,50.91,0.3623,0,cut
76.39,72.39,5.656,11.9,0.6404,1,cut
97.63,32.11,2.745,41.78,0.8534,0,cover_drive
79.56,40.65,4.212,-57.08,0.4151,1,flick
81.11,0.0,4.872,47.28,0.4394,0,defensive
112.84,50.13,5.492,-31.63,0.6453,0,pull
102.48,52.84,3.991,-2.1,0.977,1,flick
91.22,38.72,2.741,53.24,0.6718,1,cover_drive
100.79,76.57,6.21,7.7,0.8246,0,pull
105.93,70.99,6.736,29.88,1.0,1,cut
86.08,62.94,7.726,40.45,0.6846,0,cut
102.13,77.19,5.603,51.89,0.6549,0,cut
91.38,30.44,3.092,30.41,0.8001,1,cover_drive
100.84,45.7,3.963,-53.24,0.5449,1,flick
101.25,37.52,3.575,66.3,0.8661,1,cover_drive
95.79,76.41,6.151,33.65,0.5873,0,cut
86.03,84.01,5.325,87.57,0.8063,0,cut
79.1,33.84,4.735,14.08,0.5429,1,defensive
75.94,49.44,4.351,-43.25,0.6948,1,flick
101.67,62.67,3.315,-29.43,0.9567,1,straight_drive
68.27,56.58,2.104,54.31,0.7865,1,cover_drive
95.04,72.51,6.338,-2.45,0.5235,0,pull
95.76,68.1,5.849,35.34,0.6005,0,cut
76.22,40.59,3.535,8.18,0.6245,1,defensive
97.63,64.59,5.774,83.11,0.6798,0,cut
98.41,53.93,2.691,0.01,0.8178,1,cover_drive
75.07,86.22,5.74,-41.98,0.9199,0,pull
46.28,13.66,2.922,28.24,0.4933,1,defensive
94.92,68.73,7.451,-33.12,0.5371,1,pull
93.08,72.77,3.653,-55.68,0.6321,1,flick
84.86,32.49,4.519,-61.17,0.5445,0,flick
78.47,101.99,5.065,63.99,0.6167,0,cut
89.82,70.04,6.537,91.6,0.9098,0,cut
88.71,58.47,1.841,22.04,0.6209,0,straight_drive
94.14,83.19,7.091,2.8,0.7884,0,pull
94.24,21.17,2.463,39.74,0.7715,1,straight_drive
93.52,88.16,6.205,63.49,0.8354,0,cut
85.53,73.98,3.031,-21.49,0.8028,1,flick
96.96,58.1,5.499,82.56,0.809,0,cut
78.52,47.71,3.912,-62.34,0.7042,1,flick
64.29,52.41,3.54,-6.96,0.5208,1,defensive
86.86,30.12,2.953,75.91,0.765,1,cover_drive
82.74,77.01,5.232,108.22,0.7894,0,cut
72.22,40.7,3.2,31.67,0.6696,1,straight_drive
105.37,34.99,2.923,-0.73,0.8743,1,straight_drive
93.12,36.94,3.69,65.92,0.4842,1,cover_drive
79.28,55.7,6.182,91.88,0.5158,0,defensive
112.79,56.71,7.776,-9.77,0.5158,0,pull
87.64,48.6,2.51,8.84,0.6688,1,straight_drive
107.78,98.86,6.091,-6.33,0.6915,0,pull
87.41,65.37,6.686,-49.64,0.8524,0,pull
92.17,86.15,6.37,-8.47,0.8351,1,pull
91.28,31.84,3.443,42.13,0.7347,1,cover_drive
79.1,32.61,5.115,-20.91,0.6402,0,flick
83.96,18.52,3.829,39.47,0.641,1,cover_drive
91.09,20.18,5.715,100.01,0.975,0,cut
101.05,35.15,3.205,5.62,0.9388,1,straight_drive
97.38,48.58,4.946,1.86,0.4011,1,defensive
80.37,27.27,2.975,89.55,0.8361,1,cover_drive
125.43,102.01,6.833,-32.15,0.8119,0,pull
120.78,70.45,6.783,-38.63,0.8223,0,pull
92.54,47.95,3.986,31.39,0.8262,1,cover_drive
97.51,60.09,7.498,8.75,0.7,0,pull
72.87,64.53,3.98,-32.13,0.3311,0,defensive
99.44,76.5,3.768,29.98,0.6989,1,straight_drive
75.63,18.68,2.755,32.5,0.6258,1,cover_drive
82.63,103.85,6.908,53.59,0.6676,0,cut
90.73,52.32,5.481,51.53,0.6715,1,cut
109.24,29.39,4.254,43.66,0.7179,1,straight_drive
96.2,11.18,3.51,-32.85,0.5769,0,flick
82.45,40.18,4.154,-95.94,0.6228,1,flick
78.44,22.79,3.531,3.59,0.6565,1,straight_drive
92.71,53.2,2.707,-50.98,0.8551,0,flick
84.44,56.04,5.109,0.04,0.4761,1,defensive
87.02,29.97,3.851,-2.63,0.6858,1,defensive
86.55,89.78,6.941,49.6,0.8,0,cut
84.47,32.55,2.8,35.02,0.6374,1,straight_drive
114.1,47.07,2.877,11.22,0.8805,1,straight_drive
79.34,54.47,3.887,-55.38,0.4826,0,flick
81.52,37.74,3.219,41.82,0.7711,1,straight_drive
88.76,101.18,6.004,64.07,0.7585,0,cut
84.89,37.39,2.728,-28.52,0.669,0,flick
103.04,46.99,3.247,27.99,0.7864,1,cover_drive
90.88,46.56,3.782,40.48,0.812,1,cover_drive
72.56,23.09,2.544,19.17,0.4418,1,straight_drive
100.55,34.69,4.17,-43.18,0.7841,1,flick
78.21,35.35,4.352,-74.25,0.8508,1,flick
69.58,34.89,3.204,1.35,0.7492,1,defensive
109.71,23.17,3.036,-2.31,0.7246,1,straight_drive
68.57,57.36,4.772,-21.3,0.7335,1,flick
82.12,57.25,4.839,-51.34,0.6733,0,flick
96.73,84.52,7.962,6.46,0.6843,0,pull
112.67,54.06,6.796,14.64,0.6974,0,pull
96.57,43.83,3.666,17.04,0.8798,1,cover_drive
118.83,35.81,3.606,67.54,0.8324,0,cover_drive
93.34,37.6,1.861,-30.66,0.6038,1,straight_drive
59.71,29.09,4.513,-37.08,0.7917,1,defensive
95.66,73.15,2.45,57.47,0.8147,1,cover_drive
104.57,28.9,4.266,-26.13,0.8726,0,flick
86.08,56.22,6.03,-27.46,0.56,1,pull
105.66,40.99,2.781,42.18,0.6198,1,straight_drive
91.93,83.41,6.674,29.07,0.6069,0,pull
111.07,79.95,6.441,46.3,0.7792,0,cut
102.51,35.83,3.919,-9.88,0.8799,1,straight_drive
78.79,47.88,4.36,15.66,0.6845,1,defensive
87.07,45.13,4.117,26.27,0.7221,1,defensive
95.58,27.38,3.494,72.4,0.741,1,cover_drive
89.52,52.56,3.071,28.66,0.7709,1,straight_drive
89.94,58.2,3.567,8.27,0.6015,1,straight_drive
84.29,73.63,4.937,133.01,0.9209,0,cut
71.7,35.94,3.021,10.79,0.7407,1,straight_drive
106.07,47.4,5.527,-18.5,0.5106,1,pull
104.6,52.25,3.499,-57.81,0.7718,0,flick
115.35,21.96,2.816,32.23,0.6629,1,cover_drive
98.67,46.61,2.828,102.8,0.7777,1,cover_drive
74.13,68.95,6.778,34.45,0.8613,0,pull
107.61,56.11,4.274,-27.38,0.5994,1,flick
88.54,50.83,3.361,-37.81,0.9282,1,flick
109.96,75.31,6.914,5.91,0.7282,0,pull
96.77,34.73,3.458,41.04,0.6672,1,cover_drive
79.77,36.52,3.948,-10.4,1.0,0,flick
104.19,31.83,3.187,-63.04,0.6816,1,flick
74.33,67.55,3.541,17.65,0.6479,0,defensive
101.35,30.3,2.456,23.41,0.7636,1,straight_drive
101.35,31.93,3.18,77.8,0.9205,1,cover_drive
90.93,5.23,3.83,43.32,0.7691,1,cover_drive
105.39,88.8,5.665,-12.22,0.4134,0,pull
91.26,62.89,2.562,25.0,0.6941,1,straight_drive
94.74,42.03,5.85,-6.71,0.7679,1,pull
59.54,48.72,2.696,6.49,0.4554,1,defensive
108.35,28.56,4.448,59.82,0.536,1,defensive
98.29,65.78,6.895,-3.95,0.8959,0,pull
95.52,35.04,2.688,46.01,0.8762,1,cover_drive
76.45,44.73,2.482,-51.31,0.6677,1,flick
97.68,82.57,6.714,-4.25,0.8148,0,pull
68.91,59.91,6.073,99.02,0.6743,0,cut
93.11,15.91,3.272,-65.01,0.7743,1,flick
76.07,31.64,3.32,33.62,0.5026,1,defensive
89.18,25.9,3.722,39.07,0.9346,1,straight_drive
91.0,53.66,3.389,-8.98,0.7844,1,straight_drive
81.23,37.05,2.961,-49.79,0.7837,1,flick
90.98,71.99,8.238,-20.11,0.8312,0,pull
85.01,17.8,3.029,-4.44,0.6658,1,defensive
74.92,41.81,6.19,67.67,0.575,0,cut
84.22,54.85,3.546,-24.28,0.9252,1,defensive
94.08,68.16,5.516,86.5,1.0,0,cut
70.68,40.28,5.086,-28.23,0.7489,1,flick
115.63,100.96,7.136,-43.8,0.8285,0,pull
105.89,46.61,3.711,34.6,0.7286,1,cover_drive
92.09,47.37,2.812,15.08,0.8063,1,straight_drive
92.12,55.56,3.661,-26.06,0.7685,0,flick
89.57,32.43,2.592,76.21,0.7394,1,cover_drive
91.1,41.4,5.98,62.71,0.795,0,cut
68.63,30.17,4.483,52.88,0.6581,1,defensive
94.34,64.76,4.671,13.82,0.81,1,cut
92.15,32.94,2.623,86.52,0.7162,1,cover_drive
97.65,65.87,6.498,113.29,0.5266,0,cut
99.15,32.27,2.478,53.2,0.4473,1,straight_drive
93.3,49.28,2.662,86.72,0.8978,1,cover_drive
80.63,38.27,2.828,7.87,0.8704,1,straight_drive
106.0,32.55,3.492,69.08,1.0,1,cover_drive
91.93,24.01,2.803,45.51,0.5804,1,cover_drive
96.34,76.16,6.775,33.89,0.9737,0,cut
70.8,38.41,2.697,32.91,0.7865,1,straight_drive
71.84,55.0,4.391,23.29,0.574,0,defensive
92.73,56.79,7.199,43.04,0.5972,1,cut
98.32,75.22,3.172,24.52,0.5528,1,straight_drive
91.58,43.98,3.629,-44.13,0.8203,1,flick
91.08,41.3,5.689,98.27,0.7716,0,cut
108.24,90.34,6.385,59.84,0.7365,0,cut
93.44,44.97,5.54,-13.39,0.6305,1,defensive
97.32,74.82,6.596,11.71,1.0,0,pull
97.47,29.98,3.838,-13.83,0.7502,1,flick
78.55,12.61,3.556,-10.97,0.5913,1,flick
85.79,55.27,6.619,19.01,0.8881,0,pull
86.95,70.49,5.792,76.69,0.7314,0,cut
90.15,50.09,2.653,14.64,0.8637,1,straight_drive
92.48,32.79,3.057,39.28,0.7556,1,cover_drive
70.2,6.79,3.908,-25.91,0.5479,0,defensive
112.29,18.22,2.653,76.58,0.654,1,cover_drive
83.23,53.44,7.497,-4.32,0.5504,0,pull
98.68,34.87,3.491,82.37,0.6045,1,cover_drive
111.56,6.0,2.555,-6.37,0.7643,1,straight_drive
111.99,42.25,3.957,-14.0,0.6057,0,flick
89.06,44.29,3.298,41.48,0.7976,1,cover_drive
101.65,33.01,2.685,64.4,0.7957,1,cover_drive
99.12,58.75,6.12,65.08,0.891,1,cut
108.7,44.73,3.851,-54.14,0.7291,1,flick
102.85,32.46,3.725,74.53,0.7118,1,cover_drive
98.9,65.13,7.15,-42.29,0.83,0,pull
100.32,23.22,2.575,76.65,0.7759,1,cover_drive
98.93,29.63,2.798,72.39,0.8904,1,cover_drive
89.79,50.74,3.511,27.64,0.7506,1,cover_drive
84.52,15.72,4.621,-17.15,0.6973,1,defensive
82.76,82.89,7.468,63.92,0.7013,1,cut
96.42,67.2,4.076,52.39,0.6026,0,cut
108.08,47.03,2.483,18.6,0.8127,1,straight_drive
83.7,46.2,3.549,-85.41,0.5431,1,flick
89.2,55.37,5.145,-19.75,0.7649,1,flick
101.38,55.75,6.623,71.53,0.6004,0,cut
83.5,51.85,6.579,-18.02,0.7472,0,pull
92.55,42.84,2.239,67.78,0.744,1,cover_drive
90.92,42.93,2.97,3.73,0.7156,1,straight_drive
90.39,31.85,4.72,-5.33,0.7814,1,defensive
87.77,89.4,5.522,43.19,0.484,0,cut
78.41,54.72,5.554,84.13,0.7397,0,defensive
86.85,78.2,6.757,-20.61,0.6956,0,pull
84.08,36.16,3.276,-27.11,0.5991,0,flick
103.17,25.05,2.721,23.3,0.9597,1,straight_drive
95.74,34.51,2.98,-3.6,0.9314,1,straight_drive
75.47,35.14,4.853,13.62,0.4836,1,defensive
92.03,47.36,3.074,70.6,0.7808,1,cover_drive
82.76,38.25,4.306,14.92,0.8747,1,straight_drive
74.87,47.94,3.182,-19.83,0.4253,1,flick
94.66,32.56,2.627,25.37,0.867,1,straight_drive
94.96,29.87,4.98,15.48,0.4447,1,defensive
105.71,78.01,6.281,2.87,0.9705,0,pull
93.09,54.06,3.105,67.8,0.6003,1,cover_drive
75.5,20.88,2.177,0.58,0.7562,1,straight_drive
82.32,89.68,6.358,-1.11,0.6118,0,pull
107.41,37.27,3.106,22.26,0.872,1,straight_drive
118.0,42.07,3.06,5.75,0.705,1,straight_drive
90.82,52.03,5.857,33.05,0.4825,0,cut
103.51,83.71,6.743,-15.06,0.7356,0,pull
103.18,36.84,2.982,24.89,0.7177,1,straight_drive
89.47,71.9,4.654,74.02,0.9573,1,cut
92.97,35.56,3.245,34.43,0.7928,1,cover_drive
79.12,62.06,6.758,-17.61,0.6058,0,pull
83.08,72.78,4.771,74.52,0.9397,1,cut
84.08,42.56,3.049,-53.48,0.9121,1,flick
87.19,57.4,2.834,-50.48,0.7487,1,flick
89.22,35.64,3.06,57.76,0.9893,1,cover_drive
100.24,50.49,3.492,48.35,0.8593,1,cover_drive
72.19,86.28,6.644,-26.78,0.2808,0,pull
76.21,63.13,2.393,43.57,0.5725,1,straight_drive
93.61,81.18,8.71,-37.42,0.7479,1,pull
87.06,103.55,6.815,-61.85,0.9594,0,pull
99.49,39.98,3.387,19.47,0.9317,1,straight_drive
80.18,47.54,2.122,54.98,0.55,1,cover_drive
60.49,40.47,3.107,-19.58,0.282,1,defensive
77.73,49.4,3.305,71.47,0.7105,1,cover_drive
64.16,48.74,4.034,9.93,0.4296,0,defensive
89.7,63.15,6.172,66.83,0.7471,1,cut
104.76,69.31,6.531,-37.19,0.6126,1,pull
88.64,76.49,6.548,-23.06,0.7363,0,pull
84.07,79.96,8.324,-26.53,0.7223,0,pull
110.07,54.78,4.258,-41.81,0.6946,0,flick
85.66,34.54,3.499,42.38,0.9304,1,straight_drive
67.3,68.21,4.629,-50.91,0.6324,1,flick
71.02,29.41,4.19,-21.25,0.5405,0,defensive
77.25,15.37,3.093,44.56,0.775,1,cover_drive
97.26,18.83,3.453,37.03,0.8284,1,straight_drive
82.33,41.8,4.372,-23.42,0.7448,1,defensive
71.06,39.86,2.972,80.19,0.5966,1,cover_drive
106.28,27.46,3.178,18.12,0.8356,0,cover_drive
80.86,53.1,3.923,40.62,0.2744,1,defensive
88.47,39.15,3.603,-67.26,0.6713,0,flick
94.06,78.32,6.336,-21.33,0.8143,1,pull
89.72,52.62,3.725,-37.78,0.8235,1,flick
87.23,88.57,6.287,-16.59,0.7341,0,pull
76.58,54.3,3.529,-27.96,0.6776,1,flick
98.92,75.79,5.761,61.0,0.6878,0,cut
96.6,52.31,2.181,64.08,0.8791,1,cover_drive
110.62,73.28,6.585,-17.25,0.8233,1,pull
89.0,74.89,5.981,94.58,0.6225,1,cut
99.57,46.85,2.954,53.26,0.7638,1,cover_drive
86.12,75.48,6.86,-11.23,0.6926,0,pull
85.62,46.97,3.451,-48.98,0.617,1,flick
114.2,36.28,3.676,19.67,0.7543,1,straight_drive
87.83,38.93,3.074,25.2,0.7137,1,straight_drive
70.41,67.79,3.406,-51.62,0.6864,0,flick
62.26,54.64,3.112,-7.82,0.6749,1,defensive
97.42,52.66,3.471,58.59,0.7992,1,cover_drive
94.2,39.97,2.811,38.55,0.8451,1,cover_drive
91.17,37.75,5.871,-9.48,0.47,1,pull
94.99,61.59,6.919,38.59,0.7819,0,cut
94.95,19.33,3.141,-23.58,0.1787,1,defensive
79.76,46.22,2.436,21.56,0.6642,1,straight_drive
78.28,59.92,4.506,7.45,0.5092,1,defensive
96.56,44.44,3.209,13.38,0.5585,1,straight_drive
93.51,39.31,4.846,-29.77,0.7945,1,flick
93.31,64.9,6.25,-57.34,0.7119,0,pull
87.94,69.43,6.681,99.88,0.6685,0,cut
97.53,33.57,4.108,76.75,0.7361,1,cover_drive
95.6,25.56,2.817,25.35,0.8119,1,straight_drive
76.82,62.21,3.808,20.85,0.7034,0,straight_drive
85.12,40.37,3.211,47.0,0.7205,1,straight_drive
116.32,60.6,6.568,15.95,0.6026,1,pull
97.93,79.43,5.616,-14.55,0.784,0,pull
100.56,65.33,6.348,91.97,0.7229,1,cut
109.99,70.62,6.148,-18.96,0.6749,0,pull
51.82,79.11,5.829,-36.31,0.3877,1,defensive
88.94,38.3,4.054,45.92,0.352,1,defensive
74.46,45.49,4.438,4.9,0.6378,1,defensive
85.69,67.57,6.493,-25.46,0.9243,0,pull
112.54,91.12,7.193,6.43,0.5815,0,pull
98.34,57.35,3.339,58.41,0.9649,1,cover_drive
127.21,85.4,6.704,18.15,0.5215,0,pull
113.11,70.83,5.951,-59.18,0.8555,0,pull
98.45,84.9,6.485,14.59,0.5346,0,pull
98.2,97.78,7.414,-41.88,0.5481,0,pull
73.83,44.71,2.65,-60.01,0.8831,0,flick
85.77,44.71,2.37,36.71,0.7794,1,cover_drive
88.04,64.34,3.3,80.8,0.7197,1,cover_drive
90.69,88.47,6.522,39.94,0.795,1,cut
92.04,84.9,5.746,54.87,0.5998,0,cut
89.3,33.54,2.259,7.33,0.8588,1,straight_drive
84.9,52.5,6.687,69.07,0.8365,0,cut
86.06,77.12,5.601,60.84,0.8103,0,cut
85.42,40.03,3.326,12.68,0.5233,1,defensive
97.32,32.35,2.062,45.26,0.7166,1,cover_drive
95.54,76.79,7.527,32.39,0.7772,0,pull
104.16,25.85,3.913,53.5,0.9427,1,cover_drive
99.2,41.58,2.715,62.6,0.9567,1,cover_drive
105.68,42.36,3.265,53.78,0.8362,0,cover_drive
104.29,34.22,3.213,-2.82,0.7409,0,straight_drive
90.22,40.06,3.691,-4.49,0.7857,1,straight_drive
90.24,84.2,6.315,-12.92,0.7214,0,pull
107.48,61.76,2.89,75.96,0.5915,1,cover_drive
80.02,33.03,5.706,65.67,0.5083,0,cut
92.47,38.49,3.846,64.71,0.6914,1,cover_drive
86.78,29.17,3.568,66.44,0.6563,1,cover_drive
96.54,47.44,3.246,-12.97,0.6941,1,straight_drive
95.56,68.45,4.253,54.6,0.8418,0,cut
109.97,84.51,6.635,66.16,0.5772,1,cut
103.16,81.09,5.172,74.07,0.63,0,cut
84.84,35.42,2.995,50.72,0.7136,1,cover_drive
72.29,59.28,4.827,49.63,0.5511,0,defensive
81.4,36.29,2.763,13.82,0.6286,1,straight_drive
97.24,46.37,3.263,65.0,0.6697,1,cover_drive
